period,geo4,mc_group,speed_bucket,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2015–2017,TOWNS,Non-motorcycle,>=90,Cross intersection,12,2,166.66666666666666,0.009077155824508321,0.9077155824508321
2015–2017,TOWNS,Non-motorcycle,>=90,T intersection,11,0,0,0.00832072617246596,0.8320726172465961
2018–2020,MELB_URBAN,Motorcycle-involved,<=60,Not at intersection,75,2,26.666666666666668,0.30612244897959184,30.612244897959183
2018–2020,MELB_URBAN,Motorcycle-involved,<=60,Cross intersection,58,0,0,0.23673469387755103,23.6734693877551
2018–2020,MELB_URBAN,Motorcycle-involved,<=60,T intersection,40,0,0,0.16326530612244897,16.3265306122449
2018–2020,MELB_URBAN,Motorcycle-involved,70–80,Not at intersection,33,1,30.303030303030305,0.1346938775510204,13.46938775510204
2018–2020,MELB_URBAN,Motorcycle-involved,70–80,Cross intersection,15,0,0,0.061224489795918366,6.122448979591836
2018–2020,MELB_URBAN,Motorcycle-involved,70–80,T intersection,13,2,153.84615384615384,0.053061224489795916,5.3061224489795915
2018–2020,MELB_URBAN,Motorcycle-involved,>=90,Not at intersection,10,0,0,0.04081632653061224,4.081632653061225
2018–2020,MELB_URBAN,Motorcycle-involved,>=90,Cross intersection,1,0,0,0.004081632653061225,0.40816326530612246
2018–2020,MELB_URBAN,Non-motorcycle,<=60,Not at intersection,6852,64,9.340338587273788,0.3123347616008752,31.23347616008752
2018–2020,MELB_URBAN,Non-motorcycle,<=60,Cross intersection,4218,22,5.215742057847321,0.19226912207129182,19.226912207129182
2018–2020,MELB_URBAN,Non-motorcycle,<=60,T intersection,4397,39,8.86968387536957,0.2004284802625581,20.04284802625581
2018–2020,MELB_URBAN,Non-motorcycle,70–80,Not at intersection,2661,45,16.910935738444195,0.12129638070927158,12.129638070927157
2018–2020,MELB_URBAN,Non-motorcycle,70–80,Cross intersection,1436,22,15.32033426183844,0.06545719755675085,6.545719755675085
2018–2020,MELB_URBAN,Non-motorcycle,70–80,T intersection,1264,13,10.284810126582279,0.05761692041207038,5.761692041207038
2018–2020,MELB_URBAN,Non-motorcycle,>=90,Not at intersection,1069,13,12.160898035547241,0.04872823411432218,4.8728234114322175
2018–2020,MELB_URBAN,Non-motorcycle,>=90,Cross intersection,27,0,0,0.0012307411796882123,0.12307411796882123
2018–2020,MELB_URBAN,Non-motorcycle,>=90,T intersection,14,0,0,6.381620931716656e-4,0.06381620931716657
2018–2020,RURAL_VICTORIA,Motorcycle-involved,<=60,Not at intersection,7,0,0,0.1206896551724138,12.068965517241379
2018–2020,RURAL_VICTORIA,Motorcycle-involved,<=60,Cross intersection,2,0,0,0.034482758620689655,3.4482758620689653
2018–2020,RURAL_VICTORIA,Motorcycle-involved,<=60,T intersection,1,0,0,0.017241379310344827,1.7241379310344827
2018–2020,RURAL_VICTORIA,Motorcycle-involved,70–80,Not at intersection,15,0,0,0.25862068965517243,25.862068965517242
2018–2020,RURAL_VICTORIA,Motorcycle-involved,70–80,Cross intersection,3,0,0,0.05172413793103448,5.172413793103448
2018–2020,RURAL_VICTORIA,Motorcycle-involved,70–80,T intersection,2,0,0,0.034482758620689655,3.4482758620689653
2018–2020,RURAL_VICTORIA,Motorcycle-involved,>=90,Not at intersection,23,4,173.91304347826087,0.39655172413793105,39.6551724137931
2018–2020,RURAL_VICTORIA,Motorcycle-involved,>=90,Cross intersection,2,0,0,0.034482758620689655,3.4482758620689653
2018–2020,RURAL_VICTORIA,Motorcycle-involved,>=90,T intersection,3,0,0,0.05172413793103448,5.172413793103448
2018–2020,RURAL_VICTORIA,Non-motorcycle,<=60,Not at intersection,754,16,21.220159151193634,0.09718999742201598,9.718999742201598
2018–2020,RURAL_VICTORIA,Non-motorcycle,<=60,Cross intersection,209,2,9.569377990430622,0.02693993297241557,2.693993297241557
2018–2020,RURAL_VICTORIA,Non-motorcycle,<=60,T intersection,226,1,4.424778761061947,0.029131219386439804,2.91312193864398
2018–2020,RURAL_VICTORIA,Non-motorcycle,70–80,Not at intersection,1358,37,27.245949926362297,0.17504511472028875,17.504511472028874
2018–2020,RURAL_VICTORIA,Non-motorcycle,70–80,Cross intersection,311,13,41.80064308681672,0.04008765145656097,4.008765145656097
2018–2020,RURAL_VICTORIA,Non-motorcycle,70–80,T intersection,385,6,15.584415584415584,0.049626192317607634,4.962619231760764
2018–2020,RURAL_VICTORIA,Non-motorcycle,>=90,Not at intersection,3700,235,63.513513513513516,0.4769270430523331,47.692704305233306
2018–2020,RURAL_VICTORIA,Non-motorcycle,>=90,Cross intersection,377,19,50.39787798408488,0.04859499871100799,4.859499871100799
2018–2020,RURAL_VICTORIA,Non-motorcycle,>=90,T intersection,438,16,36.529680365296805,0.05645784996133024,5.645784996133024
